id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph,country
Q8007,Franklin,Roosevelt,1882-01-30,1945-04-12,Hyde Park,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1933-03-04,1945-04-12,"Franklin Delano Roosevelt[a](January 30, 1882 – April 12, 1945), commonly known asFDR, was an American politician who served as the 32ndpresident of the United Statesfrom 1933 until his death in 1945. He was a member of theDemocratic Partyand is the only U.S. president to have served more than two terms. Hisinitial two termswere centered on combating theGreat Depression, while histhird and fourthsaw him shift his focus to America's involvement inWorld War II.",us
Q8612,Andrew,Johnson,1808-12-29,1875-07-31,Raleigh,https://en.wikipedia.org/wiki/Andrew_Johnson,1865-04-15,1869-03-04,"Andrew Johnson(December 29, 1808 – July 31, 1875) was an American politician who served as the 17thpresident of the United Statesfrom 1865 to 1869. He assumed the presidency following theassassination of Abraham Lincoln, as he wasvice presidentat that time. Johnson was aDemocratwho ran withAbraham Lincolnon theNational Union Partyticket, coming to office as theCivil Warconcluded. He favored quick restoration of theseceded states to the Unionwithout protection for thenewly freed peoplewho were formerlyenslaved. This led to conflict with theRepublican-dominated Congress, culminating inhis impeachmentby the House of Representatives in 1868. He wasacquitted in the Senateby one vote.",us
Q9582,Gerald,Ford,1913-07-14,2006-12-26,Omaha,https://en.wikipedia.org/wiki/Gerald_Ford,1974-08-09,1977-01-20,"Gerald Rudolph Ford Jr.(/ˈdʒɛrəld/JERR-əld;bornLeslie Lynch King Jr.; July 14, 1913 – December 26, 2006) was an American politician who served as the 38thpresident of the United Statesfrom 1974 to 1977. He previously served as the leader of theRepublican Partyin theU.S. House of Representativesfrom 1965 to 1973, and as the 40thvice presidentunder PresidentRichard Nixonfrom 1973 to 1974. Ford succeeded to the presidency when Nixon resigned in 1974, but was defeated for election to a full termin 1976. Ford is the only person to become U.S. president without winning an election for president or vice president.",us
Q9588,Richard,Nixon,1913-01-09,1994-04-22,Yorba Linda,https://en.wikipedia.org/wiki/Richard_Nixon,1969-01-20,1974-08-09,"Richard Milhous Nixon(January 9, 1913 – April 22, 1994) was the 37thpresident of the United States, serving from 1969 to 1974. A member of theRepublican Party, he previously served as arepresentativeandsenatorfromCaliforniaand as the 36thvice presidentfrom 1953 to 1961 under PresidentDwight D. Eisenhower.His presidencysaw the reduction of U.S. involvement in theVietnam War,détentewith theSoviet UnionandChina, theApollo 11Moon landing, and the establishment of theEnvironmental Protection AgencyandOccupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president toresignfrom office, as a result of theWatergate scandal.",us
Q9640,Lyndon,Johnson,1908-08-27,1973-01-22,Stonewall,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1963-11-22,1969-01-20,"Lyndon Baines Johnson(/ˈlɪndənˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initialsLBJ, was an American politician who served as the 36thpresident of the United Statesfrom 1963 to 1969. He became president afterthe assassinationofJohn F. Kennedy, under whom he had served as the 37thvice presidentfrom 1961 to 1963. ADemocratfromTexas, Johnson also served as aU.S. representativeandU.S. senator.",us
Q9696,John,Kennedy,1917-05-29,1963-11-22,Brookline,https://en.wikipedia.org/wiki/John_F._Kennedy,1961-01-20,1963-11-22,"John Fitzgerald Kennedy(May 29, 1917 – November 22, 1963), often referred to asJFKorJack, was an American politician who served as the 35thpresident of the United Statesfrom 1961 untilhis assassinationin 1963. He was theyoungestpersonelectedpresident.Kennedy served at the height of theCold War, and the majority of his foreign policy concerned relations with theSoviet UnionandCuba. ADemocrat, Kennedy representedMassachusettsin both houses of theU.S. Congressprior to his presidency.",us
Q9916,Dwight,Eisenhower,1890-10-14,1969-03-28,Denison,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1953-01-20,1961-01-20,"Dwight David Eisenhower(/ˈaɪzənhaʊ.ər/EYE-zən-how-ər; bornDavid Dwight Eisenhower; October 14, 1890 – March 28, 1969), nicknamedIke, was an Americanmilitary officerand statesman who served as the 34thpresident of the United Statesfrom 1953 to 1961. DuringWorld War II, he wasSupreme Commander of the Allied Expeditionary Forcein Europe and achieved thefive-star rankasGeneral of the Army. Eisenhower planned and supervised two of the most consequential military campaigns of World War II:Operation Torchin theNorth Africa campaignin 1942–1943 and theinvasion of Normandyin 1944.",us
Q9960,Ronald,Reagan,1911-02-06,2004-06-05,Tampico,https://en.wikipedia.org/wiki/Ronald_Reagan,1981-01-20,1989-01-20,"Ronald Wilson Reagan(/ˈreɪɡən/RAY-gən; February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40thpresident of the United Statesfrom 1981 to 1989. A member of theRepublican Party,his presidencyconstituted theReagan era, and he is considered one of the most prominentconservativefigures in American history.",us
Q11613,Harry,Truman,1884-05-08,1972-12-26,Lamar,https://en.wikipedia.org/wiki/Harry_S._Truman,1945-04-12,1953-01-20,"Harry S. Truman[b](May 8, 1884 – December 26, 1972) was the 33rdpresident of the United States, serving from 1945 to 1953. A member of theDemocratic Party, he previously served as aUnited States senatorfromMissourifrom 1935 to 1945 and briefly as the 34thvice presidentin 1945 underFranklin D. Roosevelt. Assuming the presidency after Roosevelt's death, Truman implemented theMarshall Planin the wake ofWorld War IIto rebuild the economy of Western Europe and established both theTruman DoctrineandNATOto contain the expansion ofSoviet communism. He proposed numerous liberal domestic reforms, but few were enacted by theconservative coalitionthat dominated theCongress.",us
Q11806,John,Adams,,1826-07-04,Braintree,https://en.wikipedia.org/wiki/John_Adams,1797-03-04,1801-03-04,"John Adams(October 30, 1735 – July 4, 1826) was an American statesman, attorney, diplomat, writer, andFounding Fatherwho served as the secondpresident of the United Statesfrom 1797 to 1801. Beforehis presidency, he was a leader of theAmerican Revolutionthat achieved independence fromGreat Britain. During the latter part of theRevolutionary Warand in the early years of the new nation, he served theU.S. governmentas a senior diplomat in Europe. Adams was the first person to hold the office ofvice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviserAbigail Adamsand his friend and political rivalThomas Jefferson.",us
Q11812,Thomas,Jefferson,,1826-07-04,Shadwell,https://en.wikipedia.org/wiki/Thomas_Jefferson,1801-03-04,1809-03-04,"Thomas Jefferson(April 13, 1743[b]– July 4, 1826) was an American statesman, diplomat, lawyer, architect, philosopher, andFounding Fatherwho served as the thirdpresident of the United Statesfrom 1801 to 1809.He was the primary author of theDeclaration of Independence. Following theAmerican Revolutionary Warand prior to becoming president in 1801, Jefferson was the nation's firstU.S. secretary of stateunderGeorge Washingtonand then the nation's secondvice presidentunderJohn Adams.",us
Q11813,James,Madison,1751-03-16,1836-06-28,Port Conway,https://en.wikipedia.org/wiki/James_Madison,1809-03-04,1817-03-04,"James Madison Jr.(March 16, 1751[b]– June 28, 1836) was an American statesman, diplomat, andFounding Fatherwho served as the fourthpresident of the United Statesfrom 1809 to 1817. Madison was popularly acclaimed the ""Father of the Constitution"" for his pivotal role in drafting and promoting theConstitution of the United Statesand theBill of Rights.",us
Q11815,James,Monroe,1758-04-28,1831-07-04,Monroe Hall,https://en.wikipedia.org/wiki/James_Monroe,1817-03-04,1825-03-04,"James Monroe(/mənˈroʊ/mən-ROH; April 28, 1758 – July 4, 1831) was an American statesman, lawyer, diplomat, andFounding Fatherwho served as the fifthpresident of the United Statesfrom 1817 to 1825, a member of theDemocratic-Republican Party. He was the last Founding Father to serve as president as well as the last president of theVirginia dynastyand theRepublican Generation.His presidencycoincided with theEra of Good Feelings, concluding theFirst Party Systemera of American politics. He issued theMonroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as governor ofVirginia, a member of theUnited States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war.",us
Q11816,John,Adams,1767-07-11,1848-02-23,Braintree,https://en.wikipedia.org/wiki/John_Quincy_Adams,1825-03-04,1829-03-04,"John Quincy Adams(/ˈkwɪnzi/ⓘ;[a]July 11, 1767 – February 23, 1848) was an American statesman, politician, diplomat, lawyer, anddiaristwho served as the sixthpresident of the United States, from 1825 to 1829. He previously served as the eighthUnited States secretary of statefrom 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of theUnited States CongressrepresentingMassachusettsin both chambers. He was the eldest son ofJohn Adams, who served as the second president of the United States from 1797 to 1801, andFirst LadyAbigail Adams. Initially aFederalistlike his father, he won election to the presidency as a member of theDemocratic-Republican Party, and later, in the mid-1830s, became affiliated with theWhig Party.",us
Q11817,Andrew,Jackson,1767-03-15,1845-06-08,Waxhaws,https://en.wikipedia.org/wiki/Andrew_Jackson,1829-03-04,1837-03-04,"Andrew Jackson Jr(March 15, 1767 – June 8, 1845) was an American lawyer,planter, general, and statesman who served as the seventhpresident of the United Statesfrom 1829 to 1837. Beforehis presidency, he gained fame as a general in theU.S. Armyand served in both houses of theU.S. Congress. Often praised as an advocate for ordinary Americans and for his work inpreserving the union of states, Jackson has also been criticized for his racial policies, particularly his treatment ofNative Americans.",us
Q11820,Martin,Van Buren,1782-12-05,1862-07-24,Kinderhook,https://en.wikipedia.org/wiki/Martin_Van_Buren,1837-03-04,1841-03-04,"Martin Van Buren(/vænˈbjʊərən/vanBURE-ən;Dutch:Maarten van Buren[ˈmaːrtə(n)vɑmˈbyːrə(n)]ⓘ; December 5, 1782 – July 24, 1862) was an American lawyer, diplomat, and statesman who served as the eighthpresident of the United Statesfrom 1837 to 1841. A primary founder of theDemocratic Party, he served asNew York's attorney generalandU.S. senator, then briefly as the ninthgovernor of New Yorkbefore joiningAndrew Jackson's administration as the tenthUnited States secretary of state, minister to Great Britain, and ultimately the eighthvice presidentwhen named Jackson's running mate for the1832 election. Van Buren won the presidency in1836against divided Whig opponents, the first president ofnon-Anglo-Saxon heritageand so far the only speakingEnglish as a second language. Van Buren lost re-election in1840, and failed to win the Democratic nomination in1844. Later in his life, Van Buren emerged as an elder statesman and an important anti-slavery leader who led theFree Soil Partyticket in the1848 presidential election.",us
Q11869,William,Harrison,1773-02-09,1841-04-04,Charles City County,https://en.wikipedia.org/wiki/William_Henry_Harrison,1841-03-04,1841-04-04,"William Henry Harrison(February 9, 1773 – April 4, 1841) was an American military officer and politician who served as the ninthpresident of the United States. Harrison died just 31 days after his inauguration as president in 1841, making his presidency the shortest in U.S. history. He was also the first U.S. president to die in office, causing a briefconstitutional crisissincepresidential successionwas not then fully defined in theUnited States Constitution. Harrison was the last president born as a British subject in theThirteen Coloniesand was the paternal grandfather ofBenjamin Harrison, the 23rd president of the United States.",us
Q11881,John,Tyler,1790-03-29,1862-01-18,Charles City County,https://en.wikipedia.org/wiki/John_Tyler,1841-04-04,1845-03-04,"John Tyler(March 29, 1790 – January 18, 1862) was an American politician who served as the tenthpresident of the United Statesfrom 1841 to 1845, after briefly holding office as the tenthvice presidentin 1841. He was elected vice president on the1840Whigticket with PresidentWilliam Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate ofstates' rights, including regardingslavery, and he adoptednationalisticpolicies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions ofHenry Clayand other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time.",us
Q11891,James,Polk,1795-11-02,1849-06-15,Pineville,https://en.wikipedia.org/wiki/James_K._Polk,1845-03-04,1849-03-04,"James Knox Polk(/poʊk/;November 2, 1795 – June 15, 1849) was the 11thpresident of the United States, serving from 1845 to 1849. He also served as the 13thspeaker of the House of Representativesfrom 1835 to 1839 and the ninthgovernor of Tennesseefrom 1839 to 1841. A protégé ofAndrew Jackson, he was a member of theDemocratic Partyand an advocate ofJacksonian democracy. Polk is known for extending the territory of the United States through theMexican–American Warduring his presidency,annexingtheRepublic of Texas, theOregon Territory, and theMexican Cessionafter winning the Mexican–American War.",us
Q11896,Zachary,Taylor,1784-11-24,1850-07-09,Barboursville,https://en.wikipedia.org/wiki/Zachary_Taylor,1849-03-04,1850-07-09,"Zachary Taylor(November 24, 1784 – July 9, 1850) was an American military leader who served as the 12thpresident of the United Statesfrom 1849 until his death in 1850. Taylor was a career officer in theUnited States Army, rising to the rank ofmajor generaland becoming a national hero for his victories in theMexican–American War. As a result, he won election to theWhite Housedespite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from astomach disease.",us
Q12306,Millard,Fillmore,1800-01-07,1874-03-08,Summerhill,https://en.wikipedia.org/wiki/Millard_Fillmore,1850-07-09,1853-03-04,"Millard Fillmore(January 7, 1800 – March 8, 1874) was the 13thpresident of the United States, serving from 1850 to 1853, the last to be a member of theWhig Partywhile in theWhite House.  A former member of theU.S. House of Representativesfromupstate New York, Fillmore was elected as the 12thvice presidentin1848, and succeeded to the presidency in July 1850 upon the death ofZachary Taylor. Fillmore was instrumental in passing theCompromise of 1850, a bargain that led to a brief truce in the battle over the expansion ofslavery. He failed to win theWhig nomination for president in 1852but gained the endorsement of the nativistKnow Nothing Partyfour years later and finished third in the1856 presidential election.",us
Q12312,Franklin,Pierce,1804-11-23,1869-10-08,Hillsborough,https://en.wikipedia.org/wiki/Franklin_Pierce,1853-03-04,1857-03-04,"Franklin Pierce(November 23, 1804 – October 8, 1869) was an American politician who served as the 14thpresident of the United Statesfrom 1853 to 1857. A northernDemocratwho believed that theabolitionist movementwas a fundamental threat to the nation's unity, he alienated anti-slavery groups by signing theKansas–Nebraska Actand enforcing theFugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, afterAbraham Lincolnwaselected president in 1860, theSouthern states seceded, resulting in theAmerican Civil War.",us
Q12325,James,Buchanan,1791-04-23,1868-06-01,Stony Batter,https://en.wikipedia.org/wiki/James_Buchanan,1857-03-04,1861-03-04,"James Buchanan Jr.(/bjuːˈkænən/bew-KAN-ən;April 23, 1791 – June 1, 1868) was an American lawyer, diplomat, and politician. He served as the 15thpresident of the United Statesfrom 1857 to 1861, as thesecretary of Statefrom 1845 to 1849, and representedPennsylvaniain both houses of theU.S. Congress. He was an advocate forstates' rights, particularly regardingslavery, and minimized the role of thefederal governmentpreceding theCivil War.",us
Q22686,Donald,Trump,1946-06-14,,Jamaica Hospital Medical Center,https://en.wikipedia.org/wiki/Donald_Trump,2017-01-20,2021-01-20,"Donald John Trump(born June 14, 1946) is an American politician, media personality, and businessman who served as the 45thpresident of the United Statesfrom 2017 to 2021.",us
Q23505,George,Bush,1924-06-12,2018-11-30,Milton,https://en.wikipedia.org/wiki/George_H._W._Bush,1989-01-20,1993-01-20,"George Herbert Walker Bush[a](June 12, 1924 – November 30, 2018) was an American politician, diplomat,and businessman who served as the 41stpresident of the United Statesfrom 1989 to 1993. A member of theRepublican Party, he also served as the 43rdvice presidentfrom 1981 to 1989 underRonald Reagan, and in various otherfederal positionsprior to that.",us
Q23685,Jimmy,Carter,1924-10-01,,Lillian G. Carter Nursing Center,https://en.wikipedia.org/wiki/Jimmy_Carter,1977-01-20,1981-01-20,"During Carter's infancy, his family moved several times,settling on a dirt road in nearbyArchery, which was almost entirely populated by impoverishedAfrican Americanfamilies.His family eventually had three more children:Gloria,Ruth, andBilly.He got along well with his parents. His mother was often absent during his childhood, working long hours. Although his father was staunchlypro-segregation, he allowed Jimmy to befriend the black farmhands' children.Carter was an enterprising teenager who was given his own acre of Earl's farmland, where he grew, packaged, and sold peanuts.He also rented out a section of tenant housing that he had purchased.",us
Q33866,Theodore,Roosevelt,1858-10-27,1919-01-06,Manhattan,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1901-09-14,1909-03-04,"Theodore  Roosevelt Jr.[b](October 27, 1858 – January 6, 1919), often referred to asTeddyor by his initials,T.R., was an American politician, statesman, conservationist, naturalist, and writer who served as the 26thpresident of the United Statesfrom 1901 to 1909. He previously held various positions inNew Yorkpolitics, rising up the ranks to serve as the state's33rd governorfor two years. He later served as the 25thvice presidentunder presidentWilliam McKinleyfor six months in 1901, assuming the presidency afterMcKinley's assassination. As president, Roosevelt emerged as a leader of theRepublican Partyand became a driving force foranti-trustandProgressivepolicies.",us
Q34296,Woodrow,Wilson,1856-12-28,1924-02-03,Staunton,https://en.wikipedia.org/wiki/Woodrow_Wilson,1913-03-04,1921-03-04,"Thomas Woodrow Wilson(December 28, 1856 – February 3, 1924) was an American politician and academic who served as the 28thpresident of the United Statesfrom 1913 to 1921. A member of theDemocratic Party, Wilson served as thepresident of Princeton Universityand as thegovernor of New Jerseybefore winning the1912 presidential election. As president, Wilson changed the nation's economic policies and led the United States intoWorld War Iin 1917. He was the leading architect of theLeague of Nations, and his progressive stance on foreign policy came to be known asWilsonianism.",us
Q34597,James,Garfield,1831-11-19,1881-09-19,Moreland Hills,https://en.wikipedia.org/wiki/James_A._Garfield,1881-03-04,1881-09-19,"James Abram Garfield(November 19, 1831 – September 19, 1881) was the 20thpresident of the United States, serving from March 1881 until his death the following September after beingshot by an assassinin July. A lawyer andCivil Wargeneral, Garfield served nine terms in theUnited States House of Representativesand is the only sitting member of the House to be elected president. Before his candidacy for the presidency, he had been elected to theU.S. Senateby theOhio General Assembly—a position he declined when he becamepresident-elect.",us
Q34836,Ulysses,Grant,1822-04-27,1885-07-23,Point Pleasant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1869-03-04,1877-03-04,"Ulysses S. Grant(bornHiram Ulysses Grant;[b]April 27, 1822 – July 23, 1885) was an American military officer and politician who served as the 18thpresident of the United Statesfrom 1869 to 1877. Ascommanding general, he led theUnion Armyto victory in theAmerican Civil Warin 1865 and thereafter briefly served asU.S. secretary of war. As president, Grant was an effective civil rights executive who signed the bill that createdthe Justice Departmentand worked withRadical Republicansto protect African Americans duringReconstruction.",us
Q35041,William,McKinley,1843-01-29,1901-09-14,Niles,https://en.wikipedia.org/wiki/William_McKinley,1897-03-04,1901-09-14,"William McKinley(January 29, 1843 – September 14, 1901) was an American politician who served as the 25thpresident of the United Statesfrom 1897 untilhis assassination in 1901. A member of theRepublican Party, he led a realignment that made Republicanslargely dominant in the industrial states and nationwidefor decades. He presided over victory in theSpanish–American Warof 1898; gained control of Hawaii, Puerto Rico, the Philippines and Cuba; restored prosperity after a deep depression; rejected the inflationarymonetary policyoffree silver, keeping the nation on thegold standard; and raisedprotective tariffs.",us
Q35171,Stephen,Cleveland,1837-03-18,1908-06-24,Caldwell,https://en.wikipedia.org/wiki/Grover_Cleveland,1893-03-04,1897-03-04,"Stephen Grover Cleveland(March 18, 1837 – June 24, 1908) was an American politician who served as the 22nd and 24thpresident of the United Statesfrom 1885 to 1889 and from 1893 to 1897. He is the only president in U.S. history to serve non-consecutive presidential terms.[b]In the years before his presidency, he served as a mayor andgovernor of New Yorkstate, winning fame as an anti-corruption crusader. Cleveland was the firstDemocratto win the presidency after theCivil War, and was one of two Democrat presidents, followed byWoodrow Wilsonin 1912, in an era whenRepublicansdominated the presidency between 1861 and 1933. He won thepopular votein three presidential elections—1884,1888, and 1892.Benjamin Harrisonwon theelectoral collegevote, and thus the presidency, in 1888.",us
Q35236,Herbert,Hoover,1874-08-10,1964-10-20,West Branch,https://en.wikipedia.org/wiki/Herbert_Hoover,1929-03-04,1933-03-04,"Herbert Clark Hoover(August 10, 1874 – October 20, 1964) was an American politician who served as the 31stpresident of the United Statesfrom 1929 to 1933. A member of theRepublican Party, he held office during the onset of theGreat Depression. A wealthy mining engineer before his presidency, Hoover led the wartimeCommission for Relief in Belgium, served as the director of theU.S. Food Administration, and served as theU.S. secretary of commerce.",us
Q35286,Warren,Harding,1865-11-02,1923-08-02,Blooming Grove,https://en.wikipedia.org/wiki/Warren_G._Harding,1921-03-04,1923-08-02,"Warren Gamaliel Harding(November 2, 1865 – August 2, 1923) was an American politician who served as the 29thpresident of the United Statesfrom 1921 until his death in 1923. A member of theRepublican Party, he was one of the most popular sitting U.S. presidents. After his death, a number of scandals were exposed, includingTeapot Dome, as well as an extramarital affair withNan Britton, which tarnished his reputation.",us
Q35498,Chester,Arthur,1829-10-05,1886-11-18,Fairfield,https://en.wikipedia.org/wiki/Chester_A._Arthur,1881-09-19,1885-03-04,"Chester Alan Arthur(October 5, 1829[b]– November 18, 1886) was an American politician who served as the 21stpresident of the United Statesfrom 1881 to 1885. He was aRepublicanlawyer fromNew Yorkwho briefly served as the 20thvice presidentunder PresidentJames A. Garfield. Arthur assumed the presidency after Garfield'sdeathon September 19, 1881, and served the remainder of his term until March 4, 1885.",us
